area,green_area
Reinickendorf,0.08845258668752076
Frohnau,0.29366716126978953
Reinickendorf,0.3025086554436836
Spandau,0.2681570643953471
Charlottenburg-Nord,0.21554138444330193
Mitte,0.20185328077114345
Mitte,0.11142455724048493
Hansaviertel,0.15721707390976525
Wedding,0.2576729016684862
Moabit,0.08605710019759845
Gesundbrunnen,0.11465216395685177
Steglitz-Zehlendorf,0.33045961595916423
Steglitz,0.09489636027251283
Lankwitz,0.08468905717614063
Lichterfelde,0.08209784460806543
Dahlem,0.3174678872857609
Wilmersdorf,0.09293860044769453
Halensee,0.054208515549250096
Grunewald,0.6981792754910765
Wittenau,0.12028695065584084
Märkisches Viertel,0.05465778707678133
Hermsdorf,0.13847806805148086
Tegel,0.5362592044492401
Heiligensee,0.23770182817511493
Tiergarten,0.566579512439845
Schöneberg,0.1497183878334816
Friedenau,0.03201530168137619
Marienfelde,0.1429523924534803
Treptow-Köpenick,0.4469779593646513
Adlershof,0.14691349899188022
Rudow,0.13294813304563366
Johannisthal,0.34485807284263426
Niederschöneweide,0.057561590454945466
Baumschulenweg,0.1070730444017334
Plänterwald,0.3261414373345614
Alt-Treptow,0.5887975006345609
Friedrichshain,0.1422902584041296
Friedrichshain-Kreuzberg,0.15159873500516108
Kreuzberg,0.16047096560887536
Konradshöhe,0.020168550940355346
Waidmannslust,0.12906778175000974
Charlottenburg,0.11862564129521184
Grünau,0.6247856001527518
Schmöckwitz,0.5446287049776007
Lichtenrade,0.061986832958257354
Tempelhof-Schöneberg,0.14154091909342226
Buckow,0.0330727744096033
Tempelhof,0.2570449883702252
Mariendorf,0.08536045269243862
Britz,0.2195577361024447
Neukölln,0.1452723850231157
Altglienicke,0.14924346730838564
Marzahn-Hellersdorf,0.16299256627072442
Mahlsdorf,0.044020067903787166
Pankow,0.18895863719136297
Zehlendorf,0.28196559699367585
Schmargendorf,0.09599187766861399
Westend,0.16850795515865055
Wilhelmstadt,0.188087004690499
Charlottenburg-Wilmersdorf,0.333066248398164
Lichtenberg,0.19060599540138698
Französisch Buchholz,0.10712902959979015
Stadtrandsiedlung Malchow,0.13058750390705023
Marzahn,0.24424750570096188
Hellersdorf,0.2246129648884851
Kaulsdorf,0.13596110740132028
Karow,0.044009110880112216
Wilhelmsruh,0.03420568416125186
Rosenthal,0.0157677244030082
Niederschönhausen,0.18464919236730717
Pankow,0.08586245395814708
Prenzlauer Berg,0.15907203231859873
Haselhorst,0.08508183242660447
Fennpfuhl,0.23562615226997422
Malchow,0.4039090558277999
Blankenfelde,0.33953184089784433
Buch,0.45661316434997895
Blankenburg,0.031664543254156054
Weißensee,0.06142648674087082
Spandau,0.08057412523296684
Hakenfelde,0.6069976525406907
Heinersdorf,0.024138167179571665
Alt-Hohenschönhausen,0.0765981323277692
Rummelsburg,0.0501125659133344
Wartenberg,0.25729504094123923
Lichtenberg,0.17192375226346435
Karlshorst,0.1318365089779564
Biesdorf,0.13804674445056575
Köpenick,0.4415677515559669
Friedrichshagen,0.5263122936787682
Rahnsdorf,0.6373062626259269
Falkenhagener Feld,0.20533214447863193
Neukölln,0.13823780601031013
Gropiusstadt,0.15196202364447986
Kladow,0.18551878358047252
Gatow,0.2444064041081669
Wannsee,0.5555843975098357
Nikolassee,0.5146477566800423
Lübars,0.21800568216668387
Müggelheim,0.6245493315878474
Bohnsdorf,0.1324707424529875
Staaken,0.1771398935802222
Siemensstadt,0.1238781209562188
Falkenberg,0.5826630908182138
Friedrichsfelde,0.17906999789917027
Neu-Hohenschönhausen,0.22794288916531363
Oberschöneweide,0.14714596067687
Borsigwalde,0.027119515644433583
Wilhelmshagen,0.013678022127894754
Hessenwinkel,0.009067746429258219
Schlachtensee,0.33971284906122134
Lichterfelde Süd,0.10819969532203895
Lichterfelde Ost,0.042199484673813
Lichterfelde West,0.0848351797321146
,
,0.0
,
,
